"";"B";"nu";"N";"Falsos_Cluster";"Cluster_Correto";"Nao_Cluster_Errado";"Nao_Cluster_Correto"
"1";100;0,01;70;85,7142857142857;14,2857142857143;17,3913043478261;82,6086956521739
"2";200;0,01;70;85,7142857142857;14,2857142857143;17,3913043478261;82,6086956521739
"3";500;0,01;70;83,3333333333333;16,6666666666667;16,9014084507042;83,0985915492958
"4";100;0,05;70;83,3333333333333;16,6666666666667;16,9014084507042;83,0985915492958
"5";200;0,05;70;84,6153846153846;15,3846153846154;17,1428571428571;82,8571428571429
"6";500;0,05;70;84,6153846153846;15,3846153846154;17,1428571428571;82,8571428571429
"7";100;0,1;70;83,3333333333333;16,6666666666667;16,9014084507042;83,0985915492958
"8";200;0,1;70;83,3333333333333;16,6666666666667;16,9014084507042;83,0985915492958
"9";500;0,1;70;83,3333333333333;16,6666666666667;16,9014084507042;83,0985915492958
"10";100;0,01;100;70,5882352941177;29,4117647058824;14,8514851485149;85,1485148514851
"11";200;0,01;100;68,75;31,25;14,7058823529412;85,2941176470588
"12";500;0,01;100;70,5882352941177;29,4117647058824;14,8514851485149;85,1485148514851
"13";100;0,05;100;68,75;31,25;14,7058823529412;85,2941176470588
"14";200;0,05;100;70,5882352941177;29,4117647058824;14,8514851485149;85,1485148514851
"15";500;0,05;100;70,5882352941177;29,4117647058824;14,8514851485149;85,1485148514851
"16";100;0,1;100;70,5882352941177;29,4117647058824;14,8514851485149;85,1485148514851
"17";200;0,1;100;70,5882352941177;29,4117647058824;14,8514851485149;85,1485148514851
"18";500;0,1;100;70,5882352941177;29,4117647058824;14,8514851485149;85,1485148514851
"19";100;0,01;300;32,4324324324324;67,5675675675676;11,1464968152866;88,8535031847134
"20";200;0,01;300;32,4324324324324;67,5675675675676;11,1464968152866;88,8535031847134
"21";500;0,01;300;33,3333333333333;66,6666666666667;11,4285714285714;88,5714285714286
"22";100;0,05;300;32,4324324324324;67,5675675675676;11,1464968152866;88,8535031847134
"23";200;0,05;300;33,3333333333333;66,6666666666667;11,4285714285714;88,5714285714286
"24";500;0,05;300;32,4324324324324;67,5675675675676;11,1464968152866;88,8535031847134
"25";100;0,1;300;31,4285714285714;68,5714285714286;11,3924050632911;88,6075949367088
"26";200;0,1;300;30,5555555555556;69,4444444444444;11,1111111111111;88,8888888888889
"27";500;0,1;300;33,3333333333333;66,6666666666667;11,4285714285714;88,5714285714286
"28";100;0,01;500;2,32558139534884;97,6744186046512;3,18725099601594;96,8127490039841
"29";200;0,01;500;2,32558139534884;97,6744186046512;3,18725099601594;96,8127490039841
"30";500;0,01;500;2,29885057471264;97,7011494252874;2,9940119760479;97,0059880239521
"31";100;0,05;500;2,29885057471264;97,7011494252874;2,9940119760479;97,0059880239521
"32";200;0,05;500;2,32558139534884;97,6744186046512;3,18725099601594;96,8127490039841
"33";500;0,05;500;2,29885057471264;97,7011494252874;2,9940119760479;97,0059880239521
"34";100;0,1;500;2,29885057471264;97,7011494252874;2,9940119760479;97,0059880239521
"35";200;0,1;500;2,29885057471264;97,7011494252874;2,9940119760479;97,0059880239521
"36";500;0,1;500;2,29885057471264;97,7011494252874;2,9940119760479;97,0059880239521
"37";100;0,01;1000;4,04624277456647;95,9537572254335;3,37972166998012;96,6202783300199
"38";200;0,01;1000;4,04624277456647;95,9537572254335;3,37972166998012;96,6202783300199
"39";500;0,01;1000;4,04624277456647;95,9537572254335;3,37972166998012;96,6202783300199
"40";100;0,05;1000;4,04624277456647;95,9537572254335;3,37972166998012;96,6202783300199
"41";200;0,05;1000;4,04624277456647;95,9537572254335;3,37972166998012;96,6202783300199
"42";500;0,05;1000;4,04624277456647;95,9537572254335;3,37972166998012;96,6202783300199
"43";100;0,1;1000;5,14285714285714;94,8571428571429;3,38645418326693;96,6135458167331
"44";200;0,1;1000;5,14285714285714;94,8571428571429;3,38645418326693;96,6135458167331
"45";500;0,1;1000;4,04624277456647;95,9537572254335;3,37972166998012;96,6202783300199
