"";"B";"nu";"N";"Falsos_Cluster";"Cluster_Correto";"Nao_Cluster_Errado";"Nao_Cluster_Correto"
"1";100;0,01;70;100;0;10,2941176470588;89,7058823529412
"2";200;0,01;70;100;0;10,1449275362319;89,8550724637681
"3";500;0,01;70;100;0;10,1449275362319;89,8550724637681
"4";100;0,05;70;100;0;10,2941176470588;89,7058823529412
"5";200;0,05;70;100;0;10,1449275362319;89,8550724637681
"6";500;0,05;70;100;0;10,2941176470588;89,7058823529412
"7";100;0,1;70;100;0;10,2941176470588;89,7058823529412
"8";200;0,1;70;100;0;10,2941176470588;89,7058823529412
"9";500;0,1;70;100;0;10,2941176470588;89,7058823529412
"10";100;0,01;100;81,8181818181818;18,1818181818182;8,24742268041237;91,7525773195876
"11";200;0,01;100;81,8181818181818;18,1818181818182;8,24742268041237;91,7525773195876
"12";500;0,01;100;81,8181818181818;18,1818181818182;8,24742268041237;91,7525773195876
"13";100;0,05;100;83,3333333333333;16,6666666666667;8,33333333333333;91,6666666666667
"14";200;0,05;100;81,8181818181818;18,1818181818182;8,24742268041237;91,7525773195876
"15";500;0,05;100;81,8181818181818;18,1818181818182;8,24742268041237;91,7525773195876
"16";100;0,1;100;81,8181818181818;18,1818181818182;8,24742268041237;91,7525773195876
"17";200;0,1;100;83,3333333333333;16,6666666666667;8,33333333333333;91,6666666666667
"18";500;0,1;100;81,8181818181818;18,1818181818182;8,24742268041237;91,7525773195876
"19";100;0,01;300;25;75;4,04040404040404;95,959595959596
"20";200;0,01;300;21,7391304347826;78,2608695652174;4,02684563758389;95,9731543624161
"21";500;0,01;300;21,7391304347826;78,2608695652174;4,02684563758389;95,9731543624161
"22";100;0,05;300;21,7391304347826;78,2608695652174;4,02684563758389;95,9731543624161
"23";200;0,05;300;21,7391304347826;78,2608695652174;4,02684563758389;95,9731543624161
"24";500;0,05;300;21,7391304347826;78,2608695652174;4,02684563758389;95,9731543624161
"25";100;0,1;300;19,047619047619;80,9523809523809;4,33333333333333;95,6666666666667
"26";200;0,1;300;21,7391304347826;78,2608695652174;4,02684563758389;95,9731543624161
"27";500;0,1;300;21,7391304347826;78,2608695652174;4,02684563758389;95,9731543624161
"28";100;0,01;500;6,52173913043478;93,4782608695652;1,42276422764228;98,5772357723577
"29";200;0,01;500;6,52173913043478;93,4782608695652;1,42276422764228;98,5772357723577
"30";500;0,01;500;6,52173913043478;93,4782608695652;1,42276422764228;98,5772357723577
"31";100;0,05;500;6,52173913043478;93,4782608695652;1,42276422764228;98,5772357723577
"32";200;0,05;500;6,52173913043478;93,4782608695652;1,42276422764228;98,5772357723577
"33";500;0,05;500;6,52173913043478;93,4782608695652;1,42276422764228;98,5772357723577
"34";100;0,1;500;6,52173913043478;93,4782608695652;1,42276422764228;98,5772357723577
"35";200;0,1;500;6,52173913043478;93,4782608695652;1,42276422764228;98,5772357723577
"36";500;0,1;500;6,52173913043478;93,4782608695652;1,42276422764228;98,5772357723577
"37";100;0,01;1000;12,5;87,5;2,32088799192735;97,6791120080727
"38";200;0,01;1000;11,4942528735632;88,5057471264368;2,31854838709677;97,6814516129032
"39";500;0,01;1000;10,4651162790698;89,5348837209302;2,31621349446123;97,6837865055388
"40";100;0,05;1000;11,3636363636364;88,6363636363636;2,21997981836529;97,7800201816347
"41";200;0,05;1000;12,5;87,5;2,32088799192735;97,6791120080727
"42";500;0,05;1000;12,3595505617978;87,6404494382023;2,22222222222222;97,7777777777778
"43";100;0,1;1000;10,5882352941176;89,4117647058824;2,41448692152917;97,5855130784708
"44";200;0,1;1000;12,5;87,5;2,32088799192735;97,6791120080727
"45";500;0,1;1000;10,4651162790698;89,5348837209302;2,31621349446123;97,6837865055388
